Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
financedifficultyparent,crisis_parentcaregiver_baseline_form,,radio,"...to what degree have changes related to COVID-19 in your area created financial problems for you or your family?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,y,,,,,
livingdifficultyparent,crisis_parentcaregiver_baseline_form,,radio,"...to what degree are you concerned about the stability of your living situation?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
foodsecurityparent,crisis_parentcaregiver_baseline_form,,yesno,"...did you worry whether your food would run out because of a lack of money? 
",,,,,,,,,,,,,
hopefullyendparent,crisis_parentcaregiver_baseline_form,,radio,"How hopeful are you that COVID-19 in your area will end soon?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
twoweeksemotionsparent,crisis_parentcaregiver_baseline_form, ,descriptive,During the <u>PAST TWO WEEKS</u>:,,,,,,,,,,,,,
worryparent,crisis_parentcaregiver_baseline_form,,radio,"...how worried were you generally?


","1, Not worried at all | 2, Slightly worried | 3, Moderately worried | 4, Very worried | 5, Extremely worried",,,,,,,,,,,,
happyvssadparent,crisis_parentcaregiver_baseline_form,,radio,"...how happy versus sad were you?


","1, Very sad/depressed/unhappy | 2, Moderately sad/depressed/unhappy | 3, Neutral | 4, Moderately happy/cheerful | 5, Very happy/cheerful",,,,,,,,,,,,
enjoyactivitiesparent,crisis_parentcaregiver_baseline_form,,radio,...how much have you been able to enjoy your usual activities? ,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, A lot",,,,,,,,,,,,
relaxedvsanxiousparent,crisis_parentcaregiver_baseline_form,,radio,...how relaxed versus anxious were you?,"1, Very nervous/anxious | 2, Moderately nervous/anxious | 3, Neutral | 4, Moderately relaxed/calm | 5, Very relaxed/calm",,,,,,,,,,,,
fidgetparent,crisis_parentcaregiver_baseline_form,,radio,...how fidgety or restless were you?,"1, Not fidgety/restless at all | 2, Slightly fidgety/restless | 3, Moderately fidgety/restless | 4, Very fidgety/restless | 5, Extremely fidgety/restless",,,,,,,,,,,,
fatigueparent,crisis_parentcaregiver_baseline_form,,radio,...how fatigued or tired were you?,"1, Not fatigued or tired at all | 2, Slightly fatigued or tired | 3, Moderately fatigued or tired | 4, Very fatigued or tired | 5, Extremely fatigued or tired",,,,,,,,,,,,
concentratefocusparent,crisis_parentcaregiver_baseline_form,,radio,...how well were you able to concentrate or focus?,"1, Very unfocused/distracted | 2, Moderately unfocused/distracted | 3, Neutral | 4, Moderately focused/attentive | 5, Very focused/attentive",,,,,,,,,,,,
irritableparent,crisis_parentcaregiver_baseline_form,,radio,...how irritable or easily angered were you?,"1, Not irritable or easily angered at all | 2, Slightly irritable or easily angered | 3, Moderately irritable or easily angered | 4, Very irritable or easily angered | 5, Extremely irritable or easily angered",,,,,,,,,,,,
lonelyparent,crisis_parentcaregiver_baseline_form,,radio,...how lonely were you?,"1, Not lonely at all | 2, Slightly lonely | 3, Moderately lonely | 4, Very lonely | 5, Extremely lonely",,,,,,,,,,,,
negthoughtsparent,crisis_parentcaregiver_baseline_form,,radio,"...to what extent did you express negative thoughts, thoughts about unpleasant experiences or things that make you feel bad?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, A lot of the time",,,,,,,,,,,,
pasttwoweeks_child,crisis_parentcaregiver_baseline_form,CHILD QUESTIONS PAST TWO WEEKS,descriptive,The following questions are about YOUR CHILD'S experiences and behaviors.  Please think about the <u>PAST TWO WEEKS</u>. During the PAST TWO WEEKS...,"1, Not at all
2, 1-2 days per week
3, A few days per week
4, Several days per week
6, Every day",,,,,,,,,,,,
inpersonconvo,crisis_parentcaregiver_baseline_form,,radio,"...how often has your child had in-person conversations with people outside of their household?
","1, Not at all | 2, 1-2 days per week | 3, A few days per week | 4, Several days per week | 6, Every day",,,,,,,,,,,,
timeoutside,crisis_parentcaregiver_baseline_form,,radio,"...how much time has your child spent going outside of the home (e.g., going to stores, parks, etc.)?

","1, Not at all | 2, 1-2 days per week | 3, A few days per week | 4, Several days per week | 5, Every day",,,,,,,y,,,,,
readingtalking,crisis_parentcaregiver_baseline_form,,radio,"...how often is your child asking questions, reading or talking about COVID-19?","1, Never | 2, Rarely | 3, Occasionally | 4, Often | 5, Most of the time",,,,,,,,,,,,
mask,crisis_parentcaregiver_baseline_form,...to what extent has your child been taking the following steps to prevent infection or spread of the virus?,radio,Wearing a mask or face covering in public,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
gloves,crisis_parentcaregiver_baseline_form,,radio,Wearing gloves in public,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
washinghands,crisis_parentcaregiver_baseline_form,,radio,Washing hands,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
handsanitizer,crisis_parentcaregiver_baseline_form,,radio,Using hand sanitizer,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
distance,crisis_parentcaregiver_baseline_form,,radio,Staying at least 6 feet away from others,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
avoidotherhomes,crisis_parentcaregiver_baseline_form,,radio,Avoiding visits to other people's homes,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
avoidgroups,crisis_parentcaregiver_baseline_form,,radio,Avoiding group in-person activities,"1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
avoidindoor,crisis_parentcaregiver_baseline_form,,radio,"Avoiding indoor public places (e.g., stores) when possible","1, Never | 2, Sometimes | 3, Often | 4, Very often/Always",,,,,,,y,,,covidprecautions,,
sharecustody,crisis_parentcaregiver_baseline_form,,yesno,Do you share custody of your child with another legal guardian?,,,,,,,,,,,,,
otherguardianprecautions,crisis_parentcaregiver_baseline_form,,yesno,"When your child is with their other legal guardian, do they follow the same precautions?",,,,,,,[sharecustody]=1,,,,,,
restrictionsstress,crisis_parentcaregiver_baseline_form,,radio,"...how stressful have the restrictions on leaving home been for your child?

","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,y,,,,,
contactschanged,crisis_parentcaregiver_baseline_form,,radio,"...how has the frequency of your child's contacts with people outside of their home changed relative to <i>before</i> COVID-19 in your area?

","1, A lot less | 2, A little less | 3, About the same | 4, A little more | 5, A lot more",,,,,,,,,,,,
difficultydistancing,crisis_parentcaregiver_baseline_form,,radio,"...how much difﬁculty has your child had following the recommendations to avoid close contact with people?

","1, None | 2, A little | 3, Moderate | 4, A lot | 5, A great amount",,,,,,,,,,,,
familychange,crisis_parentcaregiver_baseline_form,,radio,"...how has the quality of the relationships between your child and their family members changed? 

","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
familychangestress,crisis_parentcaregiver_baseline_form,,radio,"...how stressful have these changes in family relationships been for your child?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
friendschange,crisis_parentcaregiver_baseline_form,,radio,"...how has the quality of your child's relationships with their friends changed?

","1, A lot worse | 2, A little worse | 3, About the same | 4, A little better | 5, A lot better",,,,,,,,,,,,
friendchangestress,crisis_parentcaregiver_baseline_form,,radio,"...how stressful have these changes in social relationships been for your child?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,y,,,,,
difficultycancellations,crisis_parentcaregiver_baseline_form,,radio,"...how much has cancellation of important events (such as graduation, prom, vacation, etc.) in your child's life been difficult for your child?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
financedifficulty,crisis_parentcaregiver_baseline_form,,radio,"...to what degree have changes related to the COVID-19 crisis in your area created financial problems for your child or your child's family?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
livingdifficulty,crisis_parentcaregiver_baseline_form,,radio,...to what degree is your child concerned about the stability of their living situation?,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
foodsecurity,crisis_parentcaregiver_baseline_form,,yesno,...did your child worry whether their food would run out because of a lack of money? ,,,,,,,,,,,,,
hopefullyend,crisis_parentcaregiver_baseline_form,,radio,"How hopeful is your child that COVID-19 in your area will end soon?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,y,,,,,
primarycare,crisis_parentcaregiver_baseline_form,"In the past two weeks, has YOUR CHILD needed to access any of the following healthcare providers or services? (check all that apply)",checkbox,Primary Care,"1, My child has not needed access to this service | 2, Yes, my child has accessed through telehealth or telemedicine | 4, Yes, my child has accessed through in-person office appointments | 5, My child needed this service but could not access it",,,,,,,,,,healthcareserviceaccess,,
psychiatry,crisis_parentcaregiver_baseline_form,,checkbox,Psychiatry,"1, My child has not needed access to this service | 2, Yes, my child has accessed through telehealth or telemedicine | 4, Yes, my child has accessed through in-person office appointments | 5, My child needed this service but could not access it",,,,,,,,,,healthcareserviceaccess,,
neurology,crisis_parentcaregiver_baseline_form,,checkbox,Neurology,"1, My child has not needed access to this service | 2, Yes, my child has accessed through telehealth or telemedicine | 4, Yes, my child has accessed through in-person office appointments | 5, My child needed this service but could not access it",,,,,,,,,,healthcareserviceaccess,,
substance,crisis_parentcaregiver_baseline_form,,checkbox,Substance use or recovery services,"1, My child has not needed access to this service | 2, Yes, my child has accessed through telehealth or telemedicine | 4, Yes, my child has accessed through in-person office appointments | 5, My child needed this service but could not access it",,,,,,,,,,healthcareserviceaccess,,
psychology,crisis_parentcaregiver_baseline_form,,checkbox,Psychology,"1, My child has not needed access to this service | 2, Yes, my child has accessed through telehealth or telemedicine | 4, Yes, my child has accessed through in-person office appointments | 5, My child needed this service but could not access it",,,,,,,,,,healthcareserviceaccess,,
other,crisis_parentcaregiver_baseline_form,,checkbox,"Other (e.g., dentist)","1, My child has not needed access to this service | 2, Yes, my child has accessed through telehealth or telemedicine | 4, Yes, my child has accessed through in-person office appointments | 5, My child needed this service but could not access it",,,,,,,,,,healthcareserviceaccess,,
pasttwoweeksworried,crisis_parentcaregiver_baseline_form, ,descriptive,During the <u>PAST TWO WEEKS</u> how worried had YOUR CHILD been about:,,,,,,,,,,,,,
worriedyourself,crisis_parentcaregiver_baseline_form,,radio,...being infected?,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedothers,crisis_parentcaregiver_baseline_form,,radio,...friends or family being infected?,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedphysical,crisis_parentcaregiver_baseline_form,,radio,...their <i>physical health</i> being inﬂuenced by COVID-19?,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,,,,,,
worriedmental,crisis_parentcaregiver_baseline_form,,radio,"...their <i>mental/emotional health</i> being inﬂuenced by COVID-19?
","1, Not at all | 2, Slightly | 3, Moderately | 4, Very | 5, Extremely",,,,,,,y,,,,,
twoweeksbehaviors,crisis_parentcaregiver_baseline_form, ,descriptive,During the <u>PAST TWO WEEKS</u>:,,,,,,,,,,,,,
weekdaybedtime,crisis_parentcaregiver_baseline_form,,radio,"...on average, what time did your child go to bed on WEEKDAYS?
","1, Before 8 pm | 2, 8 pm -10 pm | 3, 10 pm - 12 am | 4, After midnight",,,,,,,,,,,,
weekendbedtime,crisis_parentcaregiver_baseline_form,,radio,"...on average, what time did your child go to bed on WEEKENDS?
","1, Before 8 pm | 2, 8 pm -10 pm | 3, 10 pm - 12 am | 4, After midnight",,,,,,,,,,,,
hoursofsleepweekdays,crisis_parentcaregiver_baseline_form,,radio,"...on average, how many hours per night did your child sleep on WEEKDAYS?
","1, Fewer than 6 hours | 2, 6-8 hours | 3, 8-10 hours | 4, More than 10 hours",,,,,,,,,,,,
hoursofsleepweekends,crisis_parentcaregiver_baseline_form,,radio,"...on average, how many hours per night did your child sleep on WEEKENDS?
","1, Fewer than 6 hours | 2, 6-8 hours | 3, 8-10 hours | 4, More than 10 hours",,,,,,,,,,,,
troublesleeping,crisis_parentcaregiver_baseline_form,,radio,...how often did your child have trouble sleeping?,"1, Not at all during the past two weeks | 2, Less than once a week | 3, Once or twice a week | 4, Three or more times a week",,,,,,,,,,,,
sleepquality,crisis_parentcaregiver_baseline_form,,radio,...how would you rate your child's sleep quality overall?,"1, Very good | 2, Fairly good | 3, Fairly bad | 4, Very bad",,,,,,,,,,,,
exercise,crisis_parentcaregiver_baseline_form,,radio,"...how many days per week did your child exercise (e.g., increased heart rate, breathing) for at least 30 minutes?
","1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,y,,,,,
outdoors,crisis_parentcaregiver_baseline_form,,radio,...how many days per week did your child spend time outdoors?,"1, None | 2, 1-2 days | 3, 3-4 days | 4, 5-6 days | 5, Daily",,,,,,,,,,,,
twoweeksemotions,crisis_parentcaregiver_baseline_form, ,descriptive,During the <u>PAST TWO WEEKS</u>:,,,,,,,,,,,,,
worry,crisis_parentcaregiver_baseline_form,,radio,"...how worried was your child generally?


","1, Not worried at all | 2, Slightly worried | 3, Moderately worried | 4, Very worried | 5, Extremely worried",,,,,,,,,,,,
happyvssad,crisis_parentcaregiver_baseline_form,,radio,...how happy versus sad was your child?,"1, Very sad/depressed/unhappy | 2, Moderately sad/depressed/unhappy | 3, Neutral | 4, Moderately happy/cheerful | 5, Very happy/cheerful",,,,,,,y,,,,,
enjoyactivities,crisis_parentcaregiver_baseline_form,,radio,...how much was your child been able to enjoy their usual activities? ,"1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, A lot",,,,,,,,,,,,
relaxedvsanxious,crisis_parentcaregiver_baseline_form,,radio,...how relaxed versus anxious was your child?,"1, Very nervous/anxious | 2, Moderately nervous/anxious | 3, Neutral | 4, Moderately relaxed/calm | 5, Very relaxed/calm",,,,,,,,,,,,
fidget,crisis_parentcaregiver_baseline_form,,radio,...how fidgety or restless was your child?,"1, Not fidgety/restless at all | 2, Slightly fidgety/restless | 3, Moderately fidgety/restless | 4, Very fidgety/restless | 5, Extremely fidgety/restless",,,,,,,,,,,,
fatigue,crisis_parentcaregiver_baseline_form,,radio,...how fatigued or tired was your child?,"1, Not fatigued or tired at all | 2, Slightly fatigued or tired | 3, Moderately fatigued or tired | 4, Very fatigued or tired | 5, Extremely fatigued or tired",,,,,,,,,,,,
concentratefocus,crisis_parentcaregiver_baseline_form,,radio,...how well was your child able to concentrate or focus?,"1, Very unfocused/distracted | 2, Moderately unfocused/distracted | 3, Neutral | 4, Moderately focused/attentive | 5, Very focused/attentive",,,,,,,y,,,,,
irritable,crisis_parentcaregiver_baseline_form,,radio,...how irritable or easily angered was your child?,"1, Not irritable or easily angered at all | 2, Slightly irritable or easily angered | 3, Moderately irritable or easily angered | 4, Very irritable or easily angered | 5, Extremely irritable or easily angered",,,,,,,,,,,,
lonely,crisis_parentcaregiver_baseline_form,,radio,...how lonely was your child?,"1, Not lonely at all | 2, Slightly lonely | 3, Moderately lonely | 4, Very lonely | 5, Extremely lonely",,,,,,,,,,,,
negthoughts,crisis_parentcaregiver_baseline_form,,radio,"...to what extent did your child express negative thoughts, thoughts about unpleasant experiences or things that make them feel bad?","1, Not at all | 2, Rarely | 3, Occasionally | 4, Often | 5, A lot of the time",,,,,,,,,,,,
pasttwoweeks,crisis_parentcaregiver_baseline_form, ,descriptive,During the <u>PAST TWO WEEKS:,,,,,,,,,,,,,
emotionsinterfereschool,crisis_parentcaregiver_baseline_form,,radio,"...how much have your child's emotions, worries, or thoughts interfered with their ability to do well at school?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,,,
emotionsinterferefamily,crisis_parentcaregiver_baseline_form,,radio,"...how much have your child's emotions, worries, or thoughts caused problems with their ability to get along with their family?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,y,,,,,
emotionsinterferesocial,crisis_parentcaregiver_baseline_form,,radio,"...how much have your child's emotions, worries, or thoughts caused problems with their social life?","1, Not at all | 2, Slightly | 3, Moderately | 4, Very much | 5, Extremely",,,,,,,,,,,,
lackcompanionship,crisis_parentcaregiver_baseline_form,,radio,...how often has your child felt that they lack companionship?,"1, Never | 2, Rarely | 3, Sometimes | 4, Often",,,,,,,,,,,,
leftout,crisis_parentcaregiver_baseline_form,,radio,...how often has your child felt left out?,"1, Never | 2, Rarely | 3, Sometimes | 4, Often",,,,,,,y,,,,,
isolated,crisis_parentcaregiver_baseline_form,,radio,...how often has your child felt isolated from others?,"1, Never | 2, Rarely | 3, Sometimes | 4, Often",,,,,,,,,,,,
peopletotalkto,crisis_parentcaregiver_baseline_form,,radio,...how often has your child felt that there are people they can talk to?,"1, Never | 2, Rarely | 3, Sometimes | 4, Often",,,,,,,,,,,,
peopletoturnto,crisis_parentcaregiver_baseline_form,,radio,...how often has your child felt that there are people they can turn to?,"1, Never | 2, Rarely | 3, Sometimes | 4, Often",,,,,,,,,,,,
twoweeksmedia,crisis_parentcaregiver_baseline_form, ,descriptive,"During the <u>PAST TWO WEEKS</u>, how much time PER DAY did YOUR CHILD spend:",,,,,,,,,,,,,
tvmedia,crisis_parentcaregiver_baseline_form,,radio,"...watching TV or digital media (e.g., Netflix, YouTube, web surfing)? 
","1, No TV or digital media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,,,,,,
socialmedia,crisis_parentcaregiver_baseline_form,,radio,"...using social media (e.g., Facetime, Facebook, Instagram, Snapchat, Twitter, TikTok)?
","1, No social media | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,y,,,,,
socialmedialonely,crisis_parentcaregiver_baseline_form,,radio,How lonely vs. connected did your child feel while spending time on social media?,"1, 1 Mostly Lonely | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Mostly Connected",,,,,,[socialmedia] = '2' or [socialmedia] = '3' or [socialmedia] = '4' or [socialmedia] = '5',,,,,,
socialmediabored,crisis_parentcaregiver_baseline_form,,radio,How bored vs. engaged did you feel while spending time on social media?,"1, 1 Mostly Bored | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 Mostly Engaged",,,,,,[socialmedia] = '2' or [socialmedia] = '3' or [socialmedia] = '4' or [socialmedia] = '5',,,,,,
socialmedialikes,crisis_parentcaregiver_baseline_form,,radio,"When using social media, how often does your child check for 'likes'?","1, Every few minutes | 2, Every hour | 3, Once per day | 4, Once per week",,,,,,[socialmedia] = '2' or [socialmedia] = '3' or [socialmedia] = '4' or [socialmedia] = '5',,,,,,
videogames,crisis_parentcaregiver_baseline_form,,radio,"...playing video games?
","1, No video games | 2, Under 1 hour | 3, 1-3 hours | 4, 4-6 hours | 5, More than 6 hours",,,,,,,y,,,,,
videogametype,crisis_parentcaregiver_baseline_form,,radio,What types of games do they play most (choose one)?,"1, Racing (e.g. Mario Kart, Minion Rush) | 2, Battling/Shooter (e.g., Clash Royale, Call of Duty, Angry Birds, Clash of Clans) | 3, Sandbox (e.g., Minecraft, Sims, Kodable) | 4, Educational (e.g., Magic School Bus, LeapFrog, Raz Kids) | 5, Puzzle/Arcade (e.g., Candy Crush, Tetris, Pac Man) | 6, Sports (e.g., Fifa, Wii Sports, NBA 2K, Madden) | 7, Other",,,,,,[videogames]=2 OR [videogames]=3 OR [videogames]=4 OR [videogames]=5,,,,,,
videogameother,crisis_parentcaregiver_baseline_form,,text,Please provide the name of the game they play:,,,,,,,[videogametype]=7,,,,,,
alcohol,crisis_parentcaregiver_baseline_form,"During the <u>PAST TWO WEEKS</u>, how often did YOUR CHILD use:",radio,Alcohol?,"1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
vape,crisis_parentcaregiver_baseline_form,,radio,"Vaping products (e.g. electronic cigarettes, vape pens, e-hookah, e-cigars, e-pipes, hookah pen)?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
cigarettes,crisis_parentcaregiver_baseline_form,,radio,"Cigarettes, even one or two puffs?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
tobacco,crisis_parentcaregiver_baseline_form,,radio,"Other tobacco products (e.g., cigars, cigarillos, dissolvables, hookah, pipes, smokeless tobacco, waterpipe)?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
marijuana,crisis_parentcaregiver_baseline_form,,radio,"Marijuana/cannabis (e.g., weed, pot, joint, blunt, pipe, bong, hashish, hash oil)?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
heroin,crisis_parentcaregiver_baseline_form,,radio,Heroin?,"1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
cocaine,crisis_parentcaregiver_baseline_form,,radio,"Cocaine, crack, amphetamine, methamphetamine, hallucinogens, or ecstasy?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
rxpain,crisis_parentcaregiver_baseline_form,,radio,"Prescription pain relievers (e.g., hydrocodone, oxycodone, morphine, codeine) in any way <u>a doctor did not direct your child to use them?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
rxsleep,crisis_parentcaregiver_baseline_form,,radio,"Prescription sleeping medications or sedatives/hypnotics (e.g., alprazolam, diazepam, estazolam, lorazepam, zolpidem) in any way <u>a doctor did not direct your child to use them?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
rxstimulants,crisis_parentcaregiver_baseline_form,,radio,"Prescription stimulants (e.g., dextroamphetamine, dexmethylphenidate, methylphenidate) in any way <u>a doctor did not direct your child to use them?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
rxother,crisis_parentcaregiver_baseline_form,,radio,Other prescription medications in any way <u>a doctor did not direct your child to use them?,"1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,substancestwoweeks,,
substanceproblems,crisis_parentcaregiver_baseline_form,,yesno,Did your child's use of alcohol or other drugs cause any problems?,,,,,,,[alcohol] = '3' or [alcohol] = '4' or [alcohol] = '5' or [alcohol] = '6' or [alcohol] = '7' or [vape] = '3' or [vape] = '4' or [vape] = '5' or [vape] = '6' or [vape] = '7' or [vape] = '8' or [cigarettes] = '3' or [cigarettes] = '4' or [cigarettes] = '5' or [cigarettes] = '6' or [cigarettes] = '7' or [cigarettes] = '8' or [tobacco] = '3' or [tobacco] = '4' or [tobacco] = '5' or [tobacco] = '6' or [tobacco] = '7' or [tobacco] = '8' or [marijuana] = '3' or [marijuana] = '4' or [marijuana] = '5' or [marijuana] = '6' or [marijuana] = '7' or [marijuana] = '8' or [heroin] = '3' or [heroin] = '4' or [heroin] = '5' or [heroin] = '6' or [heroin] = '7' or [heroin] = '8' or [cocaine] = '3' or [cocaine] = '4' or [cocaine] = '5' or [cocaine] = '6' or [cocaine] = '7' or [cocaine] = '8' or [rxpain] = '3' or [rxpain] = '4' or [rxpain] = '5' or [rxpain] = '6' or [rxpain] = '7' or [rxpain] = '8' or [rxsleep] = '3' or [rxsleep] = '4' or [rxsleep] = '5' or [rxsleep] = '6' or [rxsleep] = '7' or [rxsleep] = '8' or [rxstimulants] = '3' or [rxstimulants] = '4' or [rxstimulants] = '5' or [rxstimulants] = '6' or [rxstimulants] = '7' or [rxstimulants] = '8' or [rxother] = '3' or [rxother] = '4' or [rxother] = '5' or [rxother] = '6' or [rxother] = '7' or [rxother] = '8',,,,,,
substancecomplaint,crisis_parentcaregiver_baseline_form,,yesno,Has anyone complained about your child's use of alcohol or other drugs?,,,,,,,[alcohol] = '3' or [alcohol] = '4' or [alcohol] = '5' or [alcohol] = '6' or [alcohol] = '7' or [vape] = '3' or [vape] = '4' or [vape] = '5' or [vape] = '6' or [vape] = '7' or [vape] = '8' or [cigarettes] = '3' or [cigarettes] = '4' or [cigarettes] = '5' or [cigarettes] = '6' or [cigarettes] = '7' or [cigarettes] = '8' or [tobacco] = '3' or [tobacco] = '4' or [tobacco] = '5' or [tobacco] = '6' or [tobacco] = '7' or [tobacco] = '8' or [marijuana] = '3' or [marijuana] = '4' or [marijuana] = '5' or [marijuana] = '6' or [marijuana] = '7' or [marijuana] = '8' or [heroin] = '3' or [heroin] = '4' or [heroin] = '5' or [heroin] = '6' or [heroin] = '7' or [heroin] = '8' or [cocaine] = '3' or [cocaine] = '4' or [cocaine] = '5' or [cocaine] = '6' or [cocaine] = '7' or [cocaine] = '8' or [rxpain] = '3' or [rxpain] = '4' or [rxpain] = '5' or [rxpain] = '6' or [rxpain] = '7' or [rxpain] = '8' or [rxsleep] = '3' or [rxsleep] = '4' or [rxsleep] = '5' or [rxsleep] = '6' or [rxsleep] = '7' or [rxsleep] = '8' or [rxstimulants] = '3' or [rxstimulants] = '4' or [rxstimulants] = '5' or [rxstimulants] = '6' or [rxstimulants] = '7' or [rxstimulants] = '8' or [rxother] = '3' or [rxother] = '4' or [rxother] = '5' or [rxother] = '6' or [rxother] = '7' or [rxother] = '8',,,,,,
challenges,crisis_parentcaregiver_baseline_form,CONCERNS AND COMMENTS,notes,"Have there been challenges or difficulties for your family arising from increased use of digital technology and virtual learning in the COVID pandemic?
 ",,,,,,,,,,,,,
benefits,crisis_parentcaregiver_baseline_form,,notes,"Have there been opportunities or benefits for your family arising from increased use of digital technology and virtual learning in the COVID pandemic?
 ",,,,,,,,,,,,,
anything_else,crisis_parentcaregiver_baseline_form,,notes,Please describe anything else that concerns you about the impact of Coronavirus/COVID-19 on your child.,,,,,,,,,,,,,
timestamp2,crisis_parentcaregiver_baseline_form,,text,,,,,,,,,,,,,,@NOW @HIDDEN
pciat_1,parentchild_internet_addiction_test_pciat,,radio,1. How often does your child disobey time limits you set for online use?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
pciat_2,parentchild_internet_addiction_test_pciat,,radio,2. How often does your child neglect household chores to spend more time online?,"0, Does Not Apply | 1, Rarely | 2, Occasionally | 3, Frequently | 4, Often | 5, Always",,,,,,,,,,,,
