Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
twoweeksopiates,adult_selfreport_baseline_form,,radio,"...opiates, heroin, or narcotics?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,,,
twoweeksother,adult_selfreport_baseline_form,,radio,"...other drugs including cocaine, crack, amphetamine, methamphetamine, hallucinogens, or ecstasy?","1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,,,
twoweeksleeping,adult_selfreport_baseline_form,,radio,...sleeping medications or sedatives/hypnotics?,"1, Not at all | 2, Rarely | 3, Once a month | 4, Several times a month | 5, Once a week | 6, Several times a week | 7, Once a day | 8, More than once a day",,,,,,,,,,,,
disruptedsupports,adult_selfreport_baseline_form,SUPPORTS,checkbox,Which of the following supports were in place for you before the Coronavirus/COVID-19 crisis in your area and have been disrupted over the <u>PAST TWO WEEKS?</u> (check all that apply),"1, Resource room | 2, Tutoring | 3, Mentoring programs | 4, After school activity programs | 5, Volunteer programs | 6, Psychotherapy | 7, Psychiatric care | 8, Occupational therapy | 9, Physical therapy | 10, Speech/language therapy | 11, Sporting activities | 12, Medical care for chronic illnesses | 13, Other",,,,,,,,,,,,
disruptedsupportsother,adult_selfreport_baseline_form,,text,Other:,,,,,,,,,,,,,
disclaimer,adult_selfreport_baseline_form,ADDITIONAL CONCERNS AND COMMENTS,descriptive,"Note: The goal of the following two questions is to for us to learn more about your situations and reactions in your own words. This information will be used to help us make plans for the best ways to help people in the future. We cannot provide feedback regarding clinical or treatment recommendations. If you do need immediate help, please contact a local care provider.",,,,,,,[disruptedsupports(13)] = '1',,,,,,
anything_else,adult_selfreport_baseline_form,,notes,"Please describe anything else that concerns you about the impact of Coronavirus/COVID-19 on you, your friends, or your family.",,,,,,,,,,,,,
surveycomments,adult_selfreport_baseline_form,,notes,Please provide any comments that you would like to share about this survey and/or related topics.,,,,,,,,,,,,,
timestamp2,adult_selfreport_baseline_form,,text,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,@NOW @HIDDEN
